Serial Number,Kind,Type,Name of Variety/ Hybrid,Recommended State Union territories for sale
43,Bread Wheat,Open Pollinated Variety,MACS SAKAS (MACS 6768),"Madhya Pradesh, Chhattisgarh, Gujarat, Rajasthan (Kota and Udaipur Division), and Western Uttar Pradesh (Jhansi Division)"
44,Bread Wheat,Open Pollinated Variety,Pusa Wheat 3369 (HD 3369),"Punjab, Haryana, Delhi, Rajasthan, (except kota and Udaipur divisions), Western Uttar Pradesh (except Jhansi division), parts of Jammu and Kashmir (Kathua district), parts of Himachal Pradesh (Una district &Paonta valley) and Uttarakhand (tarai region)"
45,Bread Wheat,Open Pollinated Variety,NICRA Pusa Wheat 3411 (HD 3411),"Eastern Uttar Pradesh, Bihar, Jharkhand, Orissa, West Bengal, Assam and plains of NE States"
46,Bread wheat,Open Pollinated Variety,VL Cookies (VL 2041),"Himachal Pradesh, Jammu and Kashmir, Uttarakhand, Manipur and Meghalaya"
47,Bread wheat,Open Pollinated Variety,Vidhya (CG 1036),"Madhya Pradesh, Gujarat, Chhattisgarh, Kota and Udaipur division of Rajasthan and Jhansi division of Uttar Pradesh"
48,Bread Wheat,Open Pollinated Variety,Karan Vaishnavi (DBW 303),"Madhya Pradesh, Chhattisgarh, Gujarat and Kota and Udaipur division of Rajasthan"
49,Bread Wheat,Open Pollinated Variety,Shalimar Wheat-3 (SKW-356),Jammu and Kashmir
50,Bread Wheat,Open Pollinated Variety,Phule Anupam (NIAW 3624),Maharashtra
51,Durum Wheat,Open Pollinated Variety,Pusa Kirti (HI 8830),"Madhya Pradesh, Chhattisgarh, Gujarat, Kota and Udaipur Divisions of Rajasthan and Jhansi Division of Uttar Pradesh"
52,Durum Wheat,Open Pollinated Variety,Pusa Poshtik (HI 8826),"Maharashtra, Karnataka and Plains of Tamil Nadu"
53,Durum Wheat,Open Pollinated Variety,DDW55 (d) (Karan Manjari),"Madhya Pradesh, Gujarat, Rajasthan and Chhattisgarh"
54,Durum Wheat,Open Pollinated Variety,Macs Jejuri (MACS 4100 (d)],Maharashtra and Karnataka
55,Maize,Open Pollinated Variety,Him Palam Maize Composite 2 (L 316),"Himachal Pradesh, Jammu and Kashmir, Uttarakhand and North East Hills"
56,Maize,Open Pollinated Variety,Megha Maize-1 (RCM 1- 61),"Jammu and Kashmir, Himachal Pradesh, Uttarakhand (Hilly region), Northern Eastern Hill Regions (Meghalaya, Sikkim, Assam, Tripura, Nagaland, Manipur and Arunachal Pradesh)"
57,Maize,Open Pollinated Variety,Megha Maize-2 (RCM 1- 76),"Jammu and Kashmir, Himachal Pradesh, Uttarakhand (Hilly region), Northern Eastern Hill Regions (Meghalaya, Sikkim, Assam, Tripura, Nagaland, Manipur and Arunachal Pradesh)"
58,Maize,Open Pollinated Variety,SJPC 1,Jammu Province of Jammu and Kashmir
59,Maize,Open Pollinated Variety,Siata Mimpui (MZM 11),Mizoram
60,Maize,Open Pollinated Variety,Mizo Popcorn 1 (MZM 17),Mizoram
61,Maize,Open Pollinated Variety,Punjab Baby Corn 1 (JH 32434),Punjab
62,Maize,Hybrid,RMH 4118 (Rasi 4118),"Odisha, Jharkhand, Bihar eastern Uttar Pradesh and West Bengal"
63,Maize,Hybrid,NMH 4140,"Punjab, Haryana, Delhi, Uttarakhand (plain), Western Uttar Pradesh, Bihar, Jharkhand, Odisha, Eastern Uttar Pradesh and West Bengal"
64,Maize,Hybrid,NMH 4144,"Bihar, Jharkhand, Odisha, Eastern Uttar Pradesh and West Bengal"
65,Maize,Hybrid,NK 6801 (SYN916801),"(PZ-IV) - Maharashtra, Karnataka, Andhra Pradesh, Tamil Nadu and Telangana. (NEPZ-III) - Bihar, Jharkhand, Odisha, West Bengal and Eastern Uttar Pradesh"
66,Maize,Hybrid,KMH 8322,"Punjab, Haryana, Delhi, Western Uttar Pradesh, Bihar, West Bengal, Odisha, Chhattisgarh, Jharkhand, Andhra Pradesh, Telangana, Karnataka, Maharashtra and Tamil Nadu"
67,Maize,Hybrid,KMH005,"Punjab, Haryana, Delhi and Uttar Pradesh"
68,Maize,Hybrid,NMH-51,Assam
69,Maize,Hybrid,Shalimar Maize Hybrid-5 (IMH-221) (DMRH-1417),Kashmir Valley
